doc,w,z,word
29,3,8,massmedia
29,126,3,kan
29,127,4,följa
29,61,3,debatten
29,25,7,och
29,6,8,att
30,128,8,minst
30,7,8,det
30,129,7,stora
30,130,8,intresset
30,34,6,från
30,35,3,massmedias
30,36,3,sida
30,14,2,ett
30,125,8,offentligt
30,131,2,besked
31,25,0,och
31,51,0,inte
31,105,7,något
31,46,2,för
31,3,0,massmedia
31,25,2,och
31,132,0,medborgare
31,7,7,det
31,133,2,blir
32,25,2,och
32,7,3,det
32,134,2,nya
32,135,2,medier
32,136,2,ser
32,99,2,man
32,51,3,inte
33,137,1,vilket
33,138,1,framgått
33,51,1,inte
33,128,1,minst
33,3,4,massmedia
33,64,1,bla
33,28,1,har
33,139,1,liv
33,140,7,beskrivits
34,141,8,bakgrunden
34,142,6,till
34,143,1,vissa
34,2,3,uppgifter
34,3,2,massmedia
34,70,1,nyligen
34,46,1,för
34,7,1,det
35,38,6,som
35,144,5,förekommit
35,3,0,massmedia
35,145,5,sig
35,146,6,mellan
36,147,9,centrum
36,46,1,för
36,61,1,debatten
36,3,0,massmedia
36,25,5,och
36,148,1,bland
36,149,1,allmänheten
36,150,5,bör
37,18,7,sammanhang
37,151,1,mot
37,3,9,massmedia
37,28,1,har
37,152,1,senare
37,56,1,tid
37,153,3,alltmer
38,154,5,följer
38,155,0,referat
38,3,2,massmedia
38,99,0,man
38,145,0,sig
38,156,7,över
39,157,1,synpunkt
39,158,8,sätt
39,3,3,massmedia
39,141,4,bakgrunden
39,159,6,emellertid
40,99,1,man
40,109,5,del
40,3,2,massmedia
40,160,1,varje
40,161,8,dag
40,162,5,vill
40,163,8,lägga
41,99,8,man
41,164,6,själv
41,51,8,inte
41,165,8,tillhör
41,38,6,som
41,3,8,massmedia
41,46,5,för
41,166,7,sysslar
41,167,8,med
42,38,2,som
42,109,9,del
42,168,4,politiker
42,25,1,och
42,3,4,massmedia
42,169,4,ibland
42,46,3,för
42,99,0,man
42,170,9,talar
43,17,0,detta
43,131,3,besked
43,34,3,från
43,171,5,industriministern
43,172,0,via
43,3,4,massmedia
43,25,0,och
44,173,0,egna
44,174,8,resurser
44,25,8,och
44,35,9,massmedias
44,175,8,områden
44,95,5,kommer
44,6,8,att
44,56,9,tid
45,25,4,och
45,176,1,angående
45,3,2,massmedia
45,25,2,och
45,35,3,massmedias
45,177,3,ställning
45,61,2,debatten
45,178,0,började
46,25,3,och
46,176,1,angående
46,3,3,massmedia
46,25,4,och
46,35,4,massmedias
46,177,3,ställning
46,61,1,debatten
46,178,5,började
46,179,4,redan
47,180,0,grundläggande
47,46,0,för
47,35,1,massmedias
47,142,0,till
47,38,0,som
47,7,0,det
47,181,1,heter
48,25,8,och
48,173,4,egna
48,3,2,massmedia
48,7,8,det
48,182,2,efter
48,54,8,den
49,183,6,någon
49,184,5,form
49,20,3,när
49,7,4,det
49,21,6,gäller
49,35,5,massmedias
49,185,5,rätt
49,6,4,att
49,186,0,förmedla
49,187,1,information
49,79,6,utan
50,188,4,svensk
50,25,8,och
50,113,3,andra
50,3,4,massmedia
50,189,6,får
50,190,8,höra
50,191,9,mycket
51,192,7,typ
51,46,6,för
51,193,9,svenska
51,35,0,massmedias
51,185,7,rätt
51,6,7,att
51,194,3,visa
51,195,0,vad
51,38,7,som
52,158,1,sätt
52,196,8,pressen
52,25,9,och
52,113,1,andra
52,3,9,massmedia
52,28,8,har
52,197,9,exempel
53,198,9,vägen
53,46,4,för
53,120,4,massmediernas
53,199,1,möjligheter
53,6,2,att
53,200,3,lämna
53,201,2,nyheter
53,25,7,och
54,6,5,att
54,143,2,vissa
54,202,1,eller
54,120,4,massmediernas
54,203,5,självständighet
54,204,9,hotas
55,54,3,den
55,205,4,pågående
55,206,4,konflikten
55,21,7,gäller
55,51,3,inte
55,35,0,massmedias
55,85,0,men
55,100,0,trots
55,17,0,detta
55,28,5,har
56,207,6,föras
56,16,0,just
56,206,3,konflikten
56,3,1,massmedia
56,85,8,men
56,208,5,frågan
56,28,2,har
56,80,6,också
57,209,1,naturligtvis
57,210,1,stor
57,211,0,uppmärksamhet
57,3,3,massmedia
57,25,3,och
57,212,3,blev
57,213,3,föremål
58,214,8,förslaget
58,7,6,det
58,215,2,var
58,80,1,också
58,195,6,vad
58,3,8,massmedia
58,6,0,att
58,216,0,rapportera
58,34,6,från
59,46,0,för
59,217,0,ungdom
59,192,1,typ
59,3,2,massmedia
59,28,1,har
59,152,2,senare
59,56,1,tid
60,218,6,dagens
60,193,0,svenska
60,219,6,samhälle
60,220,0,lyssnar
60,3,6,massmedia
60,25,6,och
60,168,0,politiker
60,221,6,oftare
60,142,0,till
61,222,7,gällt
61,6,8,att
61,223,7,uttala
61,145,8,sig
61,224,8,inför
61,3,7,massmedia
61,225,8,sade
62,98,1,jag
62,28,8,har
62,32,6,uttalat
62,226,8,mig
62,46,8,för
62,3,6,massmedia
62,7,8,det
62,165,8,tillhör
62,6,2,att
62,227,8,säga
63,6,9,att
63,227,9,säga
63,228,5,regler
63,6,9,att
63,3,7,massmedia
63,229,9,intensivt
63,230,9,bevakar
63,231,9,dessa
63,63,2,frågor
63,25,9,och
64,232,2,riksdagsledamöter
64,28,2,har
64,32,5,uttalat
64,145,5,sig
64,3,2,massmedia
64,98,5,jag
64,162,5,vill
64,7,6,det
64,233,5,sammanhanget
65,53,4,oss
65,28,3,har
65,234,9,gjort
65,235,6,uttalanden
65,46,6,för
65,3,4,massmedia
65,167,4,med
65,191,3,mycket
65,210,4,stor
65,98,5,jag
66,1,2,enligt
66,91,8,uppgift
66,3,5,massmedia
66,50,8,finns
66,236,8,risk
66,46,0,för
66,237,3,ytterligare
67,38,9,som
67,238,7,intressant
67,51,3,inte
67,38,3,som
67,3,5,massmedia
67,169,3,ibland
67,7,8,det
67,239,4,antalet
68,126,2,kan
68,71,2,genom
68,35,7,massmedias
68,121,7,bevakning
68,240,0,konstatera
68,73,3,hur
68,25,7,och
69,241,8,våra
69,3,1,massmedia
69,99,4,man
69,126,6,kan
69,242,1,fråga
69,145,4,sig
69,195,2,vad
70,243,9,fel
70,38,0,som
70,28,8,har
70,244,0,påståtts
70,245,5,massmedier
70,6,1,att
70,246,1,skulle
70,247,8,vara
71,248,5,anledning
71,6,1,att
71,249,1,uttrycka
71,46,9,för
71,35,1,massmedias
71,250,2,positiva
71,251,5,insatser
71,46,2,för
71,14,1,ett
71,252,5,par
72,7,2,det
72,253,8,stort
72,254,2,sett
72,255,0,tyst
72,3,2,massmedia
72,256,1,ägnar
72,145,2,sig
72,257,8,främst
73,258,1,varandra
73,3,7,massmedia
73,38,2,som
73,79,5,utan
73,125,5,offentligt
74,259,0,betyder
74,15,1,medium
74,42,8,företaget
74,28,3,har
75,260,9,debatt
75,260,5,debatt
75,261,5,kommersiella
75,245,5,massmedier
75,262,0,anser
75,99,5,man
75,145,0,sig
76,263,1,skolan
76,264,3,likaså
76,3,3,massmedia
76,265,0,sprider
76,266,3,kännedom
76,267,3,problemen
77,148,4,bland
77,3,1,massmedia
77,268,3,osv
77,82,1,här
77,7,7,det
77,51,7,inte
78,142,3,till
78,17,4,detta
78,28,0,har
78,80,3,också
78,3,9,massmedia
78,71,5,genom
78,6,7,att
78,269,4,behandla
78,267,3,problemen
79,82,8,här
79,267,3,problemen
79,25,6,och
79,29,1,där
79,270,7,spelar
79,3,3,massmedia
79,191,7,mycket
79,210,3,stor
79,271,7,roll
79,7,3,det
80,98,0,jag
80,272,9,vågar
80,273,5,påstå
80,6,8,att
80,3,8,massmedia
80,119,5,under
80,274,8,hade
80,275,2,använt
81,85,8,men
81,1,8,enligt
81,3,2,massmedia
81,276,2,går
81,99,1,man
81,14,2,ett
82,20,6,när
82,7,8,det
82,21,6,gäller
82,277,5,innehåll
82,135,4,medier
82,278,7,etc
82,279,6,människan
83,280,3,samma
83,2,5,uppgifter
83,38,0,som
83,113,5,andra
83,245,8,massmedier
83,281,3,nämligen
83,6,0,att
83,187,0,information
84,282,6,förs
84,167,6,med
84,11,6,olika
84,58,6,media
84,142,6,till
84,25,6,och
85,6,5,att
85,91,5,uppgift
85,142,5,till
85,3,5,massmedia
85,283,5,beträffande
85,284,8,vilken
85,7,8,det
85,4,8,föreligger
86,6,2,att
86,200,2,lämna
86,285,7,uppgiften
86,286,4,vidare
86,142,0,till
86,245,8,massmedier
86,99,2,man
86,150,2,bör
86,287,0,allvarligt
87,38,6,som
87,288,7,fritt
87,126,7,kan
87,289,6,lämnas
87,142,7,till
87,245,6,massmedier
87,14,7,ett
87,197,7,exempel
87,54,1,den
88,25,0,och
88,290,8,även
88,113,8,andra
88,135,4,medier
88,291,4,utvecklingen
88,276,5,går
88,292,4,snabbt
88,82,4,här
89,250,2,positiva
89,25,1,och
89,34,2,från
89,3,2,massmedia
89,25,1,och
89,99,2,man
89,54,2,den
90,179,1,redan
90,293,3,visat
90,145,6,sig
90,247,8,vara
90,3,1,massmedia
90,28,3,har
90,294,0,dagarna
90,295,2,redovisat
90,73,8,hur
91,88,4,själva
91,296,7,läst
91,202,4,eller
91,38,7,som
91,71,8,genom
91,3,9,massmedia
91,297,7,tagit
91,109,8,del
91,54,7,den
91,298,4,interpellation
92,82,4,här
92,71,2,genom
92,3,0,massmedia
92,25,3,och
92,43,6,måste
92,299,6,fått
93,28,8,har
93,3,7,massmedia
93,46,8,för
93,7,7,det
93,300,6,första
93,162,8,vill
93,98,4,jag
94,46,5,för
94,301,2,bästa
94,302,7,insats
94,3,9,massmedia
94,6,7,att
94,119,5,under
95,303,1,upprepade
95,304,1,inslag
95,3,1,massmedia
95,209,5,naturligtvis
96,71,5,genom
96,6,5,att
96,305,5,rad
96,134,0,nya
96,58,9,media
96,119,4,under
96,306,9,talet
96,95,5,kommer
96,6,5,att
97,307,4,väckt
97,308,7,större
97,211,4,uppmärksamhet
97,241,4,våra
97,3,4,massmedia
97,7,8,det
97,86,4,ändå
98,183,5,någon
98,309,0,högre
98,310,1,grad
98,3,2,massmedia
98,28,2,har
98,311,0,propositionen
99,54,3,den
99,60,3,allmänna
99,61,2,debatten
99,25,3,och
99,148,6,bland
99,35,2,massmedias
99,312,2,folk
99,167,2,med
99,313,3,viss
100,14,1,ett
100,314,2,levande
100,25,8,och
100,15,2,medium
100,315,8,målet
100,38,1,som
100,316,3,senast
101,317,9,hålla
101,318,7,kvar
101,130,7,intresset
101,46,0,för
101,17,2,detta
101,15,7,medium
101,28,9,har
101,100,7,trots
101,319,0,alltför
102,320,8,inom
102,14,4,ett
102,15,7,medium
102,38,7,som
102,321,7,televisionen
102,85,7,men
102,54,7,den
102,189,2,får
103,322,3,sak
103,25,3,och
103,73,3,hur
103,3,6,massmedia
103,323,3,utnyttjar
103,324,3,våldet
103,51,3,inte
103,183,3,någon
104,325,4,göra
104,326,7,sin
104,25,4,och
104,327,7,mediet
104,246,5,skulle
104,247,8,vara
104,328,4,särskilt
104,46,3,för
105,329,4,tryckfrihetsförordningen
105,126,4,kan
105,330,4,representanter
105,46,4,för
105,245,4,massmedier
105,331,6,sådana
105,332,4,meddelarfriheten
105,38,1,som
106,333,2,princip
106,334,5,omfattas
106,142,0,till
106,3,5,massmedia
106,126,2,kan
106,200,3,lämna
106,2,2,uppgifter
106,46,7,för
106,335,2,publicering
107,38,6,som
107,14,3,ett
107,35,6,massmedias
107,121,5,bevakning
107,336,3,myndigheternas
107,337,3,arbete
107,25,6,och
108,25,6,och
108,338,6,spekulationer
108,34,6,från
108,35,9,massmedias
108,36,3,sida
108,19,6,eftersom
108,339,9,journalisterna
108,28,6,har
108,115,5,kunnat
109,30,7,han
109,162,8,vill
109,142,7,till
109,3,1,massmedia
109,46,1,för
109,335,7,publicering
109,202,4,eller
109,7,9,det
110,151,1,mot
110,340,1,kvinnor
110,25,3,och
110,3,1,massmedia
110,28,1,har
110,341,9,haft
110,2,3,uppgifter
110,6,3,att
111,82,2,här
111,85,9,men
111,6,4,att
111,10,7,använda
111,231,2,dessa
111,135,0,medier
111,342,3,ingen
111,46,2,för
111,6,3,att
112,56,9,tid
112,343,9,uppmärksammats
112,344,6,såväl
112,345,8,myndigheter
112,3,3,massmedia
112,38,6,som
112,346,9,allmänhet
112,347,8,flera
112,348,6,initiativ
112,142,6,till
113,162,5,vill
113,80,0,också
113,349,3,gärna
113,227,0,säga
113,6,6,att
113,3,7,massmedia
113,28,2,har
113,14,5,ett
113,350,3,ansvar
113,6,2,att
113,127,2,följa
114,351,8,fullt
114,20,7,när
114,30,2,han
114,170,2,talar
114,35,3,massmedias
114,350,3,ansvar
114,352,5,vet
114,6,3,att
115,53,6,oss
115,191,7,mycket
115,6,8,att
115,3,3,massmedia
115,353,7,tar
115,354,9,upp
115,195,6,vad
115,38,7,som
115,355,3,vore
116,61,4,debatten
116,25,9,och
116,16,8,just
116,3,9,massmedia
116,276,8,går
116,7,8,det
116,51,9,inte
116,6,9,att
117,356,4,hörde
117,17,6,detta
117,193,0,svenska
117,3,1,massmedia
117,182,8,efter
117,357,6,sedan
118,358,1,tiden
118,38,8,som
118,17,1,detta
118,359,1,speglas
118,3,8,massmedia
118,85,8,men
118,357,1,sedan
118,99,6,man
118,360,8,bort
119,361,8,någonting
119,38,8,som
119,145,4,sig
119,142,1,till
119,3,5,massmedia
119,25,4,och
119,6,8,att
119,362,4,världens
119,363,2,regeringar
119,25,3,och
120,38,3,som
120,99,2,man
120,126,2,kan
120,3,5,massmedia
120,51,3,inte
120,80,3,också
120,364,3,skall
120,365,3,gälla
120,46,1,för
121,366,8,radio
121,25,8,och
121,113,8,andra
121,3,8,massmedia
121,7,8,det
121,246,5,skulle
121,367,8,skapa
122,209,5,naturligtvis
122,9,5,kunna
122,368,7,skylla
122,6,7,att
122,3,5,massmedia
122,28,7,har
122,7,8,det
122,82,8,här
123,369,8,snart
123,2,8,uppgifter
123,274,8,hade
123,144,5,förekommit
123,3,8,massmedia
123,370,3,sverige
123,25,4,och
124,371,9,kommunikationsministern
124,14,2,ett
124,3,2,massmedia
124,253,9,stort
124,372,2,uttalande
125,3,4,massmedia
125,373,9,övrigt
125,46,4,för
125,6,0,att
126,51,8,inte
126,374,7,utrymme
126,3,7,massmedia
126,375,7,tidningarna
126,376,2,gör
126,62,2,sina
127,38,1,som
127,17,0,detta
127,377,8,ärende
127,299,6,fått
127,3,8,massmedia
127,25,8,och
127,378,8,annat
127,158,8,sätt
127,28,9,har
128,54,6,den
128,60,7,allmänna
128,61,4,debatten
128,379,8,alltså
128,3,6,massmedia
128,366,6,radio
128,25,6,och
128,112,8,tidningar
128,380,8,kritiken
129,85,8,men
129,98,9,jag
129,28,2,har
129,3,2,massmedia
129,381,7,hört
129,382,7,honom
129,227,8,säga
129,6,6,att
129,30,9,han
130,242,0,fråga
130,383,9,allra
130,384,3,flesta
130,385,4,västliga
130,3,6,massmedia
130,28,1,har
130,386,9,både
131,387,5,vanlig
131,388,5,uppfattning
131,231,9,dessa
131,385,5,västliga
131,3,9,massmedia
131,6,5,att
131,389,5,kriget
131,215,5,var
131,390,2,slut
132,17,0,detta
132,391,0,ämne
132,38,0,som
132,392,9,förekommer
132,3,0,massmedia
132,50,0,finns
132,47,2,många
132,393,8,svensson
132,28,2,har
133,3,3,massmedia
133,29,7,där
133,394,7,oftast
133,395,7,framställs
134,51,0,inte
134,128,1,minst
134,7,0,det
134,38,3,som
134,396,2,rör
134,3,7,massmedia
134,25,6,och
134,397,3,yttrandefrihet
134,65,2,pågår
134,14,2,ett
134,398,2,omfattande
135,28,5,har
135,98,4,jag
135,71,7,genom
135,143,6,vissa
135,35,5,massmedias
135,158,7,sätt
135,6,6,att
135,25,6,och
136,2,5,uppgifter
136,38,5,som
136,112,2,tidningar
136,25,5,och
136,3,6,massmedia
136,373,2,övrigt
136,53,5,oss
136,167,5,med
137,399,7,spreds
137,71,5,genom
137,35,5,massmedias
137,187,2,information
137,400,5,annars
137,7,1,det
138,325,9,göra
138,401,9,följande
138,3,5,massmedia
138,25,2,och
138,23,9,sveriges
138,366,2,radio
138,402,9,ägnat
138,54,2,den
139,403,5,människornas
139,404,5,engagemang
139,17,9,detta
139,337,6,arbete
139,3,9,massmedia
139,28,8,har
139,80,0,också
139,69,2,verkligen
140,28,4,har
140,405,5,varit
140,14,4,ett
140,34,3,från
140,35,3,massmedias
140,36,8,sida
140,85,5,men
140,98,4,jag
140,406,3,hoppas
140,6,4,att
141,407,5,budskap
141,85,5,men
141,7,2,det
141,51,4,inte
141,3,1,massmedia
141,215,5,var
141,51,1,inte
141,408,1,intresserade
141,98,3,jag
141,246,2,skulle
142,80,7,också
142,7,0,det
142,409,9,glädjande
142,410,0,förhållandet
142,6,2,att
142,3,7,massmedia
142,309,6,högre
142,310,4,grad
142,110,4,tidigare
143,51,7,inte
143,360,3,bort
143,3,1,massmedia
143,411,1,behöver
143,35,5,massmedias
143,412,3,hjälp
144,3,0,massmedia
144,411,9,behöver
144,35,3,massmedias
144,412,4,hjälp
144,46,3,för
144,6,0,att
144,413,9,deras
144,337,3,arbete
145,161,4,dag
145,86,6,ändå
145,282,6,förs
145,386,4,både
145,3,7,massmedia
145,414,8,samhället
145,25,8,och
145,99,5,man
145,25,7,och
146,38,3,som
146,110,8,tidigare
146,3,5,massmedia
146,28,1,har
146,415,6,velat
146,145,8,sig
146,38,7,som
147,51,2,inte
147,405,7,varit
147,328,2,särskilt
147,34,2,från
147,3,1,massmedia
147,25,4,och
147,189,2,får
147,99,2,man
147,86,6,ändå
148,125,1,offentligt
148,25,1,och
148,416,6,står
148,142,6,till
148,35,6,massmedias
148,417,1,förfogande
148,99,1,man
148,418,1,således
148,51,6,inte
149,419,5,informationen
149,420,3,faktiskt
149,276,3,går
149,172,1,via
149,3,8,massmedia
149,98,5,jag
149,421,3,pratar
149,17,0,detta
149,38,8,som
150,6,2,att
150,422,8,underlätta
150,46,0,för
150,3,3,massmedia
150,231,9,dessa
150,126,9,kan
150,357,6,sedan
150,423,9,bäst
151,7,8,det
151,74,4,ofta
151,424,3,vid
151,17,6,detta
151,151,6,mot
151,120,8,massmediernas
151,121,8,bevakning
151,129,0,stora
152,425,0,kort
152,426,1,därefter
152,34,1,från
152,427,4,massmedialt
152,428,1,håll
152,6,1,att
152,149,4,allmänheten
152,51,4,inte
152,429,1,borde
153,51,8,inte
153,429,8,borde
153,145,8,sig
153,6,6,att
153,3,7,massmedia
153,246,6,skulle
153,430,6,fungera
153,38,6,som
153,105,7,något
154,25,4,och
154,372,2,uttalande
154,142,4,till
154,193,3,svenska
154,3,4,massmedia
154,28,2,har
154,307,4,väckt
154,210,7,stor
154,431,7,oro
154,432,2,hos
155,433,5,all
155,25,3,och
155,46,9,för
155,120,7,massmediernas
155,7,5,det
155,179,7,redan
156,14,3,ett
156,434,9,riktigt
156,435,1,genomslag
156,3,8,massmedia
156,436,1,olof
156,437,7,palme
156,438,0,sitt
157,3,3,massmedia
157,28,2,har
157,439,7,sistone
157,440,1,funnits
157,2,5,uppgifter
158,28,5,har
158,144,2,förekommit
158,3,4,massmedia
158,119,2,under
158,54,7,den
158,26,2,senaste
158,358,2,tiden
159,161,6,dag
159,28,9,har
159,7,2,det
159,172,0,via
159,3,5,massmedia
159,441,6,framkommit
159,6,5,att
159,95,7,kommer
159,6,9,att
160,28,7,har
160,441,3,framkommit
160,34,8,från
160,172,0,via
160,3,3,massmedia
160,142,0,till
160,442,4,alla
160,443,9,människor
160,38,8,som
161,444,1,ansvariga
161,172,8,via
161,3,4,massmedia
161,445,2,reagerat
161,191,4,mycket
161,446,8,kraftigt
161,7,8,det
162,28,5,har
162,80,1,också
162,37,5,denna
162,447,5,vecka
162,3,0,massmedia
162,299,1,fått
162,2,1,uppgifter
162,6,2,att
163,25,0,och
163,448,8,folkrörelser
163,3,3,massmedia
163,28,6,har
163,14,8,ett
163,449,3,alldeles
163,92,9,speciellt
163,350,3,ansvar
164,450,8,skedde
164,182,6,efter
164,14,8,ett
164,3,8,massmedia
164,451,0,kring
165,409,2,glädjande
165,452,8,nog
165,453,4,talas
165,7,4,det
165,3,2,massmedia
165,161,6,dag
166,454,5,pekar
166,438,6,sitt
166,455,5,svar
166,3,7,massmedia
166,25,1,och
166,456,5,säger
166,6,1,att
166,3,1,massmedia
166,51,6,inte
167,3,5,massmedia
167,25,5,och
167,456,5,säger
167,6,5,att
167,3,1,massmedia
167,51,5,inte
167,128,1,minst
167,321,5,televisionen
167,28,5,har
167,14,5,ett
168,46,2,för
168,145,5,sig
168,457,5,omfattning
168,43,4,måste
168,3,8,massmedia
168,247,8,vara
168,167,2,med
168,38,6,som
169,455,5,svar
169,454,5,pekar
169,35,5,massmedias
169,350,5,ansvar
169,98,5,jag
169,162,5,vill
170,46,8,för
170,263,3,skolan
170,25,9,och
170,3,2,massmedia
170,126,2,kan
170,458,9,socialministern
170,459,8,finna
170,183,8,någon
170,460,1,väg
171,150,6,bör
171,9,1,kunna
171,406,2,hoppas
171,6,4,att
171,3,5,massmedia
171,353,7,tar
171,354,1,upp
171,54,5,den
171,260,5,debatt
171,38,7,som
172,461,8,spritts
172,119,5,under
172,347,4,flera
172,3,8,massmedia
172,25,8,och
172,113,8,andra
172,28,6,har
172,14,4,ett
173,35,8,massmedias
173,25,1,och
173,462,4,televisionens
173,350,3,ansvar
174,462,2,televisionens
174,350,2,ansvar
174,6,0,att
174,3,2,massmedia
174,28,2,har
174,14,1,ett
174,253,9,stort
174,350,2,ansvar
175,54,0,den
175,20,7,när
175,7,4,det
175,21,6,gäller
175,3,1,massmedia
175,411,7,behöver
175,98,0,jag
175,82,8,här
175,51,1,inte
176,6,7,att
176,463,2,förklara
176,464,2,december
176,35,4,massmedias
176,465,4,frihet
176,6,2,att
176,88,4,själva
176,137,2,vilket
177,119,2,under
177,54,5,den
177,82,9,här
177,466,8,hösten
177,28,2,har
177,3,5,massmedia
177,402,9,ägnat
177,54,9,den
177,467,8,åtgärder
177,151,8,mot
178,267,7,problemen
178,414,0,samhället
178,468,3,därmed
178,28,7,har
178,3,7,massmedia
178,12,3,framför
178,13,0,allt
178,375,7,tidningarna
178,469,2,hög
179,6,9,att
179,17,1,detta
179,246,2,skulle
179,35,4,massmedias
179,465,0,frihet
179,470,9,känner
179,99,9,man
179,471,0,väl
179,142,1,till
180,472,9,synpunkter
180,16,0,just
180,46,0,för
180,6,0,att
180,35,4,massmedias
180,271,0,roll
180,458,0,socialministern
180,473,9,nämnde
180,6,0,att
180,99,2,man
181,218,3,dagens
181,219,8,samhälle
181,34,9,från
181,3,8,massmedia
181,25,8,och
181,34,3,från
181,149,8,allmänheten
181,6,8,att
182,208,8,frågan
182,28,7,har
182,474,3,tagits
182,354,8,upp
182,3,9,massmedia
182,424,1,vid
182,28,9,har
182,7,9,det
182,293,6,visat
183,34,3,från
183,1,7,enligt
183,2,3,uppgifter
183,3,5,massmedia
183,28,2,har
183,54,7,den
183,193,7,svenska
183,475,1,regeringen
184,193,7,svenska
184,38,4,som
184,476,6,arbetar
184,35,3,massmedias
184,25,3,och
184,169,4,ibland
185,46,9,för
185,477,9,yttrandefriheten
185,113,9,andra
185,135,9,medier
185,478,9,tryckta
185,479,9,skrifter
185,364,2,skall
185,9,9,kunna
186,364,1,skall
186,9,1,kunna
186,148,8,bland
186,135,8,medier
186,38,2,som
186,480,8,aktuella
186,126,8,kan
187,20,0,när
187,245,0,massmedier
187,481,3,punkt
187,364,7,skall
188,80,6,också
188,195,6,vad
188,7,2,det
188,21,6,gäller
188,113,5,andra
188,135,6,medier
188,482,2,film
188,478,6,tryckta
189,25,8,och
189,7,8,det
189,51,3,inte
189,483,8,bara
189,3,3,massmedia
189,7,8,det
189,38,0,som
