doc,w,target,pos,year,mop_id,file_path,lemmas,gender,party_abbrev,z
21,för dagen kommer fram i massmedia då tycker jag inte man,massmedia,5,1979,goran_karlsson_2a26b0,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,man,S,3
22,lvu trots detta utvecklas i massmedia en kritik som helt saknar,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,woman,V,2
23,något annan bild än den massmedia ger i massmedia förespeglar man,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,woman,V,1
24,än den massmedia ger i massmedia förespeglar man djup oenighet men,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,woman,V,1
25,figurerat en del uppgifter i massmedia och jag har tidigare frågat,massmedia,5,1979,ingegerd_troedsson_1_vice_talman,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,,,2
26,socialtjänsten i tidningar och andra massmedia har man lätt kunnat få,massmedia,5,1979,olle_goransson_6e1f4a,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,man,S,1
27,speciellt den senaste debattungen i massmedia om omhändertagande av barn har,massmedia,5,1979,olle_goransson_6e1f4a,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,man,S,2
28,riksdagen i full offentlighet under massmediernas bevakning och under en ganska,massmediernas,5,1979,daniel_tarschys_c48a0f,../riksdagen-corpus/corpus/197980/prot-197980--28.xml,mass,man,L,0
29,att beslutet sker offentligt att massmedia kan följa debatten och att,massmedia,5,1979,hilding_johansson_cfcb37,../riksdagen-corpus/corpus/197980/prot-197980--28.xml,mass,man,S,1
30,minst det stora intresset från massmedias sida motiverar ett offentligt besked,massmedias,5,1979,karin_andersson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--28.xml,mass,,,4
31,sammanträdesborden och inte något för massmedia och medborgare det blir t,massmedia,5,1979,ing-marie_hansson_797c12,../riksdagen-corpus/corpus/197980/prot-197980--161.xml,mass,woman,S,1
32,och skönlitteratur det utvecklar nya medier ser man inte på socialdemokratiskt,medier,5,1979,ing-marie_hansson_797c12,../riksdagen-corpus/corpus/197980/prot-197980--161.xml,medi,woman,S,0
33,vilket framgått inte minst av massmedia bla har pensionärernas liv beskrivits,massmedia,5,1979,borje_nilsson_c4e38d,../riksdagen-corpus/corpus/197980/prot-197980--112.xml,mass,man,S,2
34,bakgrunden till vissa uppgifter i massmedia nyligen om träffsannolikheten för det,massmedia,5,1979,kerstin_ekman_3337b6,../riksdagen-corpus/corpus/197980/prot-197980--99.xml,mass,woman,L,2
35,om robotsystem som förekommit i massmedia hänför sig tillen samövning mellan,massmedia,5,1979,kerstin_ekman_3337b6,../riksdagen-corpus/corpus/197980/prot-197980--99.xml,mass,woman,L,1
36,i centrum för debatten i massmedia och bland allmänheten inledningsvis bör,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--72.xml,mass,,,1
37,sammanhang protestera mot hemgiftsdöden indiska massmedia har på senare tid alltmer,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--66.xml,mass,woman,V,2
38,följer referat av fullmäktigedebatter i massmedia väntar man sig sannolikt över,massmedia,5,1979,wiggo_komstedt_728053,../riksdagen-corpus/corpus/197980/prot-197980--66.xml,mass,man,M,1
39,synpunkt oroväckande sätt odlas i massmedia bakgrunden är emellertid en förtroendeklyfta,massmedia,5,1979,wiggo_komstedt_728053,../riksdagen-corpus/corpus/197980/prot-197980--66.xml,mass,man,M,4
40,man ta del av i massmedia varje dag skogsägarna vill lägga,massmedia,5,1979,lars_werner_015741,../riksdagen-corpus/corpus/197980/prot-197980--73.xml,mass,man,V,1
41,man själv inte tillhör som massmedia för tillfället sysslar med villaägare,massmedia,5,1979,kjell-olof_feldt_0b7dd7,../riksdagen-corpus/corpus/197980/prot-197980--73.xml,mass,man,S,3
42,som en del politiker och massmedia ibland för då man talar,massmedia,5,1979,kjell-olof_feldt_0b7dd7,../riksdagen-corpus/corpus/197980/prot-197980--73.xml,mass,man,S,1
43,detta besked från industriministern via massmedia nådde värmlänningarna och då i,massmedia,5,1979,karl_erik_eriksson_3_vice_talman,../riksdagen-corpus/corpus/197980/prot-197980--98.xml,mass,,,1
44,egna resurser på kulturförmedlingens och massmedias områden kommer att ta tid,massmedias,5,1979,ingrid_sundberg_d9fd02,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,M,4
45,unescos deklarationer och resolutioner angående massmedia och massmedias ställning debatten började,massmedia,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,2
46,och resolutioner angående massmedia och massmedias ställning debatten började redan på,massmedias,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,4
47,år de grundläggande principerna för massmedias bidrag till som det heter,massmedias,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,3
48,informationsordning och förstärkning av egna massmedia det är efter den linjen,massmedia,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,1
49,någon form när det gäller massmedias rätt att förmedla information utan,massmedias,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,3
50,i svensk tv och andra massmedia får höra så mycket om,massmedia,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,1
51,typ av begränsning för svenska massmedias rätt att visa vad som,massmedias,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--113.xml,mass,woman,V,3
52,sätt i pressen och andra massmedia har givits exempel på industrier,massmedia,5,1979,per_israelsson_492996,../riksdagen-corpus/corpus/197980/prot-197980--105.xml,mass,man,V,1
53,kännbara hinder i vägen för massmediernas möjligheter att lämna nyheter och,massmediernas,5,1979,bertil_fiskesjo_8c572b,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,man,C,3
54,att vissa meningsriktningar undertrycks eller massmediernas självständighet i nyhetsoch opinionsförmedlingen hotas,massmediernas,5,1979,bertil_fiskesjo_8c572b,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,man,C,4
55,den pågående konflikten gäller inte massmedias avtalsområden men trots detta har,massmedias,5,1979,hilding_johansson_727860,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,man,S,4
56,föras just om konflikten i massmedia men frågan har också en,massmedia,5,1979,hilding_johansson_727860,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,man,S,1
57,väckte naturligtvis stor uppmärksamhet i massmedia och blev bl a föremål,massmedia,5,1979,per_stenmarck_e237f1,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,man,M,2
58,förslaget det var också vad massmedia ansåg värt att rapportera från,massmedia,5,1979,gunnel_jonang_19b7e7,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,woman,C,4
59,för ungdom typ flipperhallar förbjuds massmedia har på senare tid skildrat,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--139.xml,mass,,,1
60,i dagens svenska samhälle lyssnar massmedia och politiker oftare till de,massmedia,5,1979,evert_svensson_5630b6,../riksdagen-corpus/corpus/197980/prot-197980--65.xml,mass,man,S,1
61,gällt att uttala sig inför massmedia i måndags t ex sade,massmedia,5,1979,ulla_tillander_b51e0b,../riksdagen-corpus/corpus/197980/prot-197980--65.xml,mass,woman,C,1
62,jag har uttalat mig för massmedia det tillhör så att säga,massmedia,5,1979,john_andersson_1809ae,../riksdagen-corpus/corpus/197980/prot-197980--65.xml,mass,man,V,2
63,att säga spelets regler att massmedia intensivt bevakar dessa frågor och,massmedia,5,1979,john_andersson_1809ae,../riksdagen-corpus/corpus/197980/prot-197980--65.xml,mass,man,V,4
64,riksdagsledamöter har uttalat sig i massmedia jag vill i det sammanhanget,massmedia,5,1979,john_andersson_1809ae,../riksdagen-corpus/corpus/197980/prot-197980--65.xml,mass,man,V,4
65,oss har gjort uttalanden för massmedia med mycket stor tvekan jag,massmedia,5,1979,john_andersson_1809ae,../riksdagen-corpus/corpus/197980/prot-197980--65.xml,mass,man,V,2
66,hushåll tvbild enligt uppgift i massmedia finns risk för ytterligare skador,massmedia,5,1979,carl_axel_petri_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--59.xml,mass,,,1
67,som är intressant inte som massmedia ibland framställer det antalet femtioöringar,massmedia,5,1979,erik_warnberg_98d4a5,../riksdagen-corpus/corpus/197980/prot-197980--58.xml,mass,man,S,1
68,i lågoch medelinkomstlägen kan genom massmedias bevakning konstatera hur höginkomsttagare och,massmedias,5,1979,bo_lundgren_1023ee,../riksdagen-corpus/corpus/197980/prot-197980--58.xml,mass,man,M,3
69,hjälte i våra borgerligt dominerade massmedia man kan fråga sig vad,massmedia,5,1979,arne_lennart_inspektor_john_55badc,../riksdagen-corpus/corpus/197980/prot-197980--58.xml,mass,,,4
70,fel som har påståtts i massmedier att linje skulle vara en,massmedier,5,1979,lars_werner_277fe8,../riksdagen-corpus/corpus/197980/prot-197980--58.xml,mass,man,V,4
71,anledning att uttrycka sympatier för massmedias positiva insatser för ett par,massmedias,5,1979,lisa_mattson_035365,../riksdagen-corpus/corpus/197980/prot-197980--110.xml,mass,woman,S,4
72,det i stort sett tyst massmedia ägnar sig främst åt kärnkraftsomröstningen,massmedia,5,1979,gertrud_sigurdsen_29fc1c,../riksdagen-corpus/corpus/197980/prot-197980--100.xml,mass,woman,S,4
73,varandra hetsade av neurotiker i massmedia som utan offentligt mandat därtill,massmedia,5,1979,sture_ericson_b3b4e7,../riksdagen-corpus/corpus/197980/prot-197980--100.xml,mass,man,S,1
74,s k mdfplattan mdf betyder medium density fiberboard företaget har sålunda,medium,5,1979,olof_johansson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--48.xml,medi,,,3
75,allmänpolitisk debatt allmänpolitisk debatt kommersiella massmedier i vinstsyfte anser man sig,massmedier,5,1979,larz_johansson_547d47,../riksdagen-corpus/corpus/197980/prot-197980--75.xml,mass,man,C,3
76,färgas av samhällssituationen skolan likaså massmedia sprider kännedom om problemen ut,massmedia,5,1979,evert_svensson_5630b6,../riksdagen-corpus/corpus/197980/prot-197980--75.xml,mass,man,S,4
77,bland vännerna på jobbet i massmedia osv här räcker det inte,massmedia,5,1979,evert_svensson_5630b6,../riksdagen-corpus/corpus/197980/prot-197980--75.xml,mass,man,S,2
78,år till detta har också massmedia medverkat genom att behandla problemen,massmedia,5,1979,evert_svensson_5630b6,../riksdagen-corpus/corpus/197980/prot-197980--75.xml,mass,man,S,1
79,här problemen och där spelar massmedia en mycket stor roll det,massmedia,5,1979,evert_svensson_5630b6,../riksdagen-corpus/corpus/197980/prot-197980--75.xml,mass,man,S,1
80,jag vågar påstå att om massmedia under årens lopp hade använt,massmedia,5,1979,evert_svensson_5630b6,../riksdagen-corpus/corpus/197980/prot-197980--75.xml,mass,man,S,2
81,krångligt men enligt upgifter i massmedia i går utlovar man ett,massmedia,5,1979,ingemund_bengtsson_talman,../riksdagen-corpus/corpus/197980/prot-197980--49.xml,mass,,,2
82,målsättning när det gäller innehåll medier etc kampanjen är människan i,medier,5,1979,rolf_sellgren_ade2a4,../riksdagen-corpus/corpus/197980/prot-197980--115.xml,medi,man,L,0
83,samma uppgifter som på andra massmedier nämligen att ge information i,massmedier,5,1979,olle_svensson_8f1cf5,../riksdagen-corpus/corpus/197980/prot-197980--115.xml,mass,man,S,1
84,hygglig avkastning förs med olika media ut till tittare lyssnare och,media,5,1979,britt_mogård_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--129.xml,medi,,,1
85,att avslöja en uppgift till massmedia beträffande vilken det föreligger tystnadsplikt,massmedia,5,1979,olle_svensson_8f1cf5,../riksdagen-corpus/corpus/197980/prot-197980--103.xml,mass,man,S,2
86,att lämna uppgiften vidare till massmedier man bör allvarligt överväga om,massmedier,5,1979,olle_svensson_8f1cf5,../riksdagen-corpus/corpus/197980/prot-197980--103.xml,mass,man,S,1
87,som fritt kan lämnas till massmedier ett exempel på den bristande,massmedier,5,1979,olle_svensson_8f1cf5,../riksdagen-corpus/corpus/197980/prot-197980--103.xml,mass,man,S,1
88,på adbmedier och även andra medier utvecklingen går ju snabbt här,medier,5,1979,jorn_svensson_f012c5,../riksdagen-corpus/corpus/197980/prot-197980--103.xml,medi,man,V,0
89,positiva och okritiska omdömen från massmedia och man lyckades framställa den,massmedia,5,1979,kerstin_ekman_3337b6,../riksdagen-corpus/corpus/197980/prot-197980--103.xml,mass,woman,L,2
90,redan visat sig vara instabil massmedia har i dagarna redovisat hur,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--63.xml,mass,,,1
91,själva läst eller som genom massmedia tagit del av den interpellation,massmedia,5,1979,torkel_lindahl_bd5ee2,../riksdagen-corpus/corpus/197980/prot-197980--76.xml,mass,man,L,1
92,av de här fartygsaffärerna genom massmedia och riksdagstryck måste ha fått,massmedia,5,1979,torkel_lindahl_bd5ee2,../riksdagen-corpus/corpus/197980/prot-197980--76.xml,mass,man,L,4
93,har förmedlats av t ex massmedia för det första vill jag,massmedia,5,1979,torkel_lindahl_bd5ee2,../riksdagen-corpus/corpus/197980/prot-197980--76.xml,mass,man,L,4
94,för bästa populärvetenskapliga insats i massmedia attriksdagen beslutade att under medicinska,massmedia,5,1979,lars_gustafsson_7a0036,../riksdagen-corpus/corpus/197980/prot-197980--116.xml,mass,man,S,1
95,upprepade inslag av underhållningsvåld i massmedia är naturligtvis mönsterbildande mönsterbildande är,massmedia,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,woman,V,3
96,genom att en rad nya media under talet kommer att få,media,5,1979,karl-eric_norrby_02e3ec,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,medi,man,C,0
97,väckt större uppmärksamhet i våra massmedia det är ju ändå så,massmedia,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,woman,V,1
98,i någon högre grad av massmedia så har propositionen orsakat en,massmedia,5,1979,eva_hjelmstrom_9fb416,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,woman,V,1
99,den allmänna debatten och bland massmedias folk med viss bestörtning tolkats,massmedias,5,1979,anders_bjorck_a4ffb4,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,man,M,3
100,förblir ett levande och vitalt medium målet som vi senast angav,medium,5,1979,anders_bjorck_a4ffb4,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,medi,man,M,3
101,hålla kvar intresset för detta medium lokalradion har trots alltför knappa,medium,5,1979,anders_bjorck_a4ffb4,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,medi,man,M,3
102,är självklar inom ett samhällsägt medium som televisionen men den får,medium,5,1979,anders_bjorck_a4ffb4,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,medi,man,M,3
103,kraftiga i sak och hur massmedia utnyttjar våldet är inte någon,massmedia,5,1979,olle_goransson_6e1f4a,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,man,S,3
104,göra sin röst hörd och mediet skulle vara särskilt lyhört för,mediet,5,1979,karl-eric_norrby_02e3ec,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,medi,man,C,3
105,tryckfrihetsförordningen kan delges representanter för massmedier sådana angrepp på meddelarfriheten som,massmedier,5,1979,jorn_svensson_f012c5,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,man,V,1
106,princip omfattas av tystnadsplikt till massmedia kan lämna uppgifter för publicering,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,,,2
107,som ett värdefullt led i massmedias bevakning av myndigheternas arbete och,massmedias,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,,,4
108,luftiga och fantasifulla spekulationer från massmedias sida eftersom journalisterna har kunnat,massmedias,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,,,3
109,han vill ge meddelandet till massmedia för publicering eller ej det,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--102.xml,mass,,,4
110,mot omskärelse av kvinnor och massmedia har haft uppgifter om att,massmedia,5,1979,alexander_chrisopoulos_55fd45,../riksdagen-corpus/corpus/197980/prot-197980--127.xml,mass,man,V,4
111,här men att använda dessa medier är ingen metod för att,medier,5,1979,alexander_chrisopoulos_55fd45,../riksdagen-corpus/corpus/197980/prot-197980--127.xml,medi,man,V,0
112,tid uppmärksammats av såväl myndigheter massmedia som allmänhet flera initiativ till,massmedia,5,1979,britt_mogård_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--127.xml,mass,,,2
113,vill också gärna säga att massmedia har ett ansvar att följa,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--90.xml,mass,,,2
114,fullt när han talar om massmedias ansvar vi vet ju att,massmedias,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--90.xml,mass,,,4
115,oss särdeles mycket på att massmedia tar upp vad som vore,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--90.xml,mass,,,4
116,i debatten och i just massmedia då går det inte att,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--90.xml,mass,,,1
117,hörde om detta i svenska massmedia ja efter energiskt letande sedan,massmedia,5,1979,par_granstedt_bdf643,../riksdagen-corpus/corpus/197980/prot-197980--47.xml,mass,man,C,1
118,tiden som detta speglas i massmedia men sedan glömmer man bort,massmedia,5,1979,bertil_mabrink_5cc2d8,../riksdagen-corpus/corpus/197980/prot-197980--47.xml,mass,man,V,2
119,någonting som begränsar sig till massmedia och att världens regeringar och,massmedia,5,1979,bertil_mabrink_5cc2d8,../riksdagen-corpus/corpus/197980/prot-197980--47.xml,mass,man,V,2
120,som man kan iaktta i massmedia inte också skall gälla för,massmedia,5,1979,bertil_mabrink_5cc2d8,../riksdagen-corpus/corpus/197980/prot-197980--47.xml,mass,man,V,4
121,i radio och i andra massmedia det skulle ju skapa en,massmedia,5,1979,olof_palme_9cdd70,../riksdagen-corpus/corpus/197980/prot-197980--46.xml,mass,man,S,1
122,naturligtvis kunna skylla på att massmedia har skildrat det här så,massmedia,5,1979,eva_winther_5a8be1,../riksdagen-corpus/corpus/197980/prot-197980--85.xml,mass,woman,L,1
123,snart uppgifter hade förekommit i massmedia i sverige och i uländerna,massmedia,5,1979,gertrud_sigurdsen_29fc1c,../riksdagen-corpus/corpus/197980/prot-197980--132.xml,mass,woman,S,1
124,av kommunikationsministern i ett av massmedia i stort format förmedlat uttalande,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--126.xml,mass,,,4
125,i närheten av bromma flygplats massmedia i övrigt för att försvara,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--126.xml,mass,,,1
126,villaägarna inte bereds utrymme i massmedia tidningarna gör ju sina bedömningar,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--126.xml,mass,,,4
127,som detta ärende fått i massmedia och på annat sätt har,massmedia,5,1979,knut_wachtmeister_d53cdb,../riksdagen-corpus/corpus/197980/prot-197980--44.xml,mass,man,M,1
128,den allmänna debatten alltså i massmedia tv radio och tidningar kritiken,massmedia,5,1979,nils_berndtson_2bc1f1,../riksdagen-corpus/corpus/197980/prot-197980--44.xml,mass,man,V,1
129,karlskronasnickaren men jag har i massmedia hört honom säga att han,massmedia,5,1979,nils_berndtson_2bc1f1,../riksdagen-corpus/corpus/197980/prot-197980--44.xml,mass,man,V,4
130,fråga de allra flesta västliga massmedia har konsekvent förtigit både indonesiens,massmedia,5,1979,bertil_mabrink_5cc2d8,../riksdagen-corpus/corpus/197980/prot-197980--44.xml,mass,man,V,2
131,vanlig uppfattning i dessa västliga massmedia att kriget nu var slut,massmedia,5,1979,bertil_mabrink_5cc2d8,../riksdagen-corpus/corpus/197980/prot-197980--44.xml,mass,man,V,4
132,detta ämne som förekommer i massmedia finns många jörn svensson har,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--50.xml,mass,,,4
133,uselt utbyggda kollektiva servicen i massmedia där ju kvinnorna oftast framställs,massmedia,5,1979,gunilla_andre_ae1b9e,../riksdagen-corpus/corpus/197980/prot-197980--79.xml,mass,woman,C,2
134,inte minst det som rör massmedia och yttrandefrihet pågår ett omfattande,massmedia,5,1979,nils_berndtson_2bc1f1,../riksdagen-corpus/corpus/197980/prot-197980--51.xml,mass,man,V,4
135,har jag exemplifierat genom vissa massmedias sätt att skildra kungahuset och,massmedias,5,1979,anders_bjorck_272ee3,../riksdagen-corpus/corpus/197980/prot-197980--51.xml,mass,man,M,4
136,de uppgifter som tidningar och massmedia i övrigt försett oss med,massmedia,5,1979,arne_lennart_inspektor_john_55badc,../riksdagen-corpus/corpus/197980/prot-197980--51.xml,mass,,,1
137,i volvofallet spreds ju genom massmedias påpassliga information annars är det,massmedias,5,1979,svante_lundkvist_ede74d,../riksdagen-corpus/corpus/197980/prot-197980--131.xml,mass,man,S,3
138,göra följande parentes tänk om massmedia och sveriges radio ägnat den,massmedia,5,1979,marten_werner_628e80,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,man,M,1
139,människornas engagemang i detta arbete massmedia har också verkligen satsat på,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,,,2
140,har varit ett överutbud från massmedias sida men jag hoppas att,massmedias,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,,,4
141,budskap men det lyckades inte massmedia var inte intresserade jag skulle,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,,,3
142,också det glädjande förhållandet att massmedia i högre grad än tidigare,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,,,3
143,folkrörelserna inte glöms bort av massmedia de behöver få massmedias hjälp,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,,,2
144,av massmedia de behöver få massmedias hjälp för att deras arbete,massmedias,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,,,3
145,dag ändå förs både i massmedia i samhället och man och,massmedia,5,1979,gabriel_romanus_9d6e35,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,man,L,1
146,år som tidigare år i massmedia har velat framställa sig som,massmedia,5,1979,knut_wachtmeister_5af72d,../riksdagen-corpus/corpus/197980/prot-197980--109.xml,mass,man,M,2
147,inte varit särskilt välfrekventerade från massmedia och då får man ändå,massmedia,5,1979,per_israelsson_492996,../riksdagen-corpus/corpus/197980/prot-197980--121.xml,mass,man,V,3
148,är offentligt och står till massmedias förfogande om man således inte,massmedias,5,1979,per_israelsson_492996,../riksdagen-corpus/corpus/197980/prot-197980--121.xml,mass,man,V,4
149,av informationen faktiskt går via massmedia jag pratar om detta som,massmedia,5,1979,tore_nilsson_7fdce9,../riksdagen-corpus/corpus/197980/prot-197980--121.xml,mass,man,M,1
150,skyldighet att underlätta riksdagsbevakningen för massmedia dessa kan sedan bäst bedöma,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--121.xml,mass,,,4
151,det ofta vid detta mot massmediernas bevakning av de stora partiledardebatterna,massmediernas,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--121.xml,mass,,,3
152,energifrågan kort därefter förklarades från massmedialt håll att allmänheten inte borde,massmedialt,5,1979,bertil_fiskesjo_8c572b,../riksdagen-corpus/corpus/197980/prot-197980--121.xml,mass,man,C,4
